,total profit,total trades,win rate,profit factor,maximum drawdown,recovery factor,riskreward ratio,sharpe ratio,average return,stop loss,take profit
AUDJPY,106.87,88.0,47.727,1.358,75.14,1.422,2.038,0.137,87.979,59.0,40.0
CADJPY,-105.7,75.0,46.667,0.766,175.0,-0.604,1.992,-0.116,-45.719,90.0,34.0
CHFJPY,-190.0,77.0,41.558,0.627,205.0,-0.927,2.0,-0.21,-69.551,102.0,32.0
EURJPY,-14.84,85.0,50.588,0.966,110.0,-0.135,1.977,-0.021,-8.884,88.0,42.0
NZDJPY,-53.98,88.0,35.227,0.842,90.25,-0.598,1.901,-0.075,-59.807,67.0,28.0
USDJPY,-7.7,76.0,47.368,0.979,112.76,-0.068,1.985,0.009,4.633,72.0,35.0
GBPJPY,-180.9,85.0,28.235,0.526,185.9,-0.973,1.71,-0.31,-265.673,75.0,19.0
AUDUSD,-16.89,78.0,48.718,0.957,106.89,-0.158,1.964,-0.026,-13.642,78.0,37.0
EURUSD,-53.7,83.0,37.349,0.814,70.74,-0.759,1.627,-0.095,-52.735,55.0,21.0
GBPUSD,-132.14,88.0,34.091,0.652,195.84,-0.675,1.694,-0.223,-172.008,74.0,24.0
NZDUSD,90.58,100.0,44.0,1.267,36.34,2.493,2.045,0.111,90.753,66.0,42.0
USDCAD,22.09,81.0,55.556,1.055,62.43,0.354,1.876,0.028,11.535,80.0,41.0
USDCHF,91.18,75.0,53.333,1.304,35.18,2.592,2.021,0.126,64.167,60.0,39.0
AUDCAD,-104.1,81.0,29.63,0.678,139.7,-0.745,1.891,-0.181,-144.508,63.0,21.0
CADCHF,-71.54,100.0,38.0,0.829,97.06,-0.737,1.832,-0.089,-60.898,83.0,34.0
EURCAD,-69.96,76.0,34.211,0.775,155.76,-0.449,1.938,-0.109,-76.456,61.0,24.0
GBPCAD,69.83,86.0,47.674,1.217,89.47,0.78,1.93,0.096,59.703,64.0,38.0
NZDCAD,-13.19,95.0,37.895,0.964,75.63,-0.174,2.062,-0.017,-16.032,70.0,35.0
AUDCHF,-14.29,92.0,44.565,0.966,68.07,-0.21,2.002,-0.023,-11.186,83.0,40.0
EURCHF,-38.62,81.0,41.975,0.89,98.21,-0.393,1.832,-0.062,-34.817,70.0,29.0
GBPCHF,-3.41,91.0,40.659,0.99,55.41,-0.062,1.927,-0.009,-7.892,67.0,33.0
NZDCHF,6047.0,80.0,55.0,1.161,6000.0,1.008,1.979,0.085,41.797,75.0,43.0
EURAUD,-1000.0,83.0,39.759,0.968,5777.0,-0.173,1.907,-0.023,-16.016,62.0,29.0
EURGBP,-6155.0,89.0,38.202,0.84,11203.0,-0.549,1.927,-0.077,-69.22,76.0,31.0
EURNZD,-6244.0,73.0,42.466,0.824,12891.0,-0.484,1.887,-0.078,-43.555,71.0,29.0
GBPNZD,-3154.0,80.0,42.5,0.904,9119.0,-0.346,1.754,-0.025,-16.008,65.0,29.0
GBPAUD,3090.0,82.0,46.341,1.1,5074.0,0.609,1.795,0.041,33.102,61.0,32.0
AUDNZD,-5037.0,78.0,42.308,0.866,11000.0,-0.458,1.967,-0.052,-43.437,75.0,32.0
